family,link,n,p,skinnyglms_micro_secs,statsmodels_micro_secs
GaussianFamily,IdentityLink,10,0,22,519
BinomialFamily,LogitLink,10,0,130,510
GammaFamily,LogLink,10,0,139,1183
PoissonFamily,LogLink,10,0,142,701
InverseGaussianFamily,LogLink,10,0,137,1247
GaussianFamily,IdentityLink,10,1,22,530
BinomialFamily,LogitLink,10,1,167,704
GammaFamily,LogLink,10,1,214,2115
PoissonFamily,LogLink,10,1,169,880
InverseGaussianFamily,LogLink,10,1,212,3736
GaussianFamily,IdentityLink,100,0,21,534
BinomialFamily,LogitLink,100,0,148,861
GammaFamily,LogLink,100,0,154,1254
PoissonFamily,LogLink,100,0,159,720
InverseGaussianFamily,LogLink,100,0,160,1310
GaussianFamily,IdentityLink,100,1,24,557
BinomialFamily,LogitLink,100,1,152,895
GammaFamily,LogLink,100,1,164,1791
PoissonFamily,LogLink,100,1,166,907
InverseGaussianFamily,LogLink,100,1,198,4427
GaussianFamily,IdentityLink,100,10,32,704
BinomialFamily,LogitLink,100,10,255,1162
GammaFamily,LogLink,100,10,1700,12393
PoissonFamily,LogLink,100,10,218,1103
InverseGaussianFamily,LogLink,100,10,3688,17262
GaussianFamily,IdentityLink,1000,0,29,792
BinomialFamily,LogitLink,1000,0,335,1080
GammaFamily,LogLink,1000,0,326,1981
PoissonFamily,LogLink,1000,0,333,1057
InverseGaussianFamily,LogLink,1000,0,396,2103
GaussianFamily,IdentityLink,1000,1,35,914
BinomialFamily,LogitLink,1000,1,348,1178
GammaFamily,LogLink,1000,1,343,2661
PoissonFamily,LogLink,1000,1,369,1192
InverseGaussianFamily,LogLink,1000,1,418,3050
GaussianFamily,IdentityLink,1000,10,87,1949
BinomialFamily,LogitLink,1000,10,930,3036
GammaFamily,LogLink,1000,10,1141,11031
PoissonFamily,LogLink,1000,10,878,3509
InverseGaussianFamily,LogLink,1000,10,1327,14423
GaussianFamily,IdentityLink,1000,100,752,19381
BinomialFamily,LogitLink,1000,100,5122,24817
GammaFamily,LogLink,1000,100,12195,285360
PoissonFamily,LogLink,1000,100,5062,27484
InverseGaussianFamily,LogLink,1000,100,87981,-1
